time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.01901753521e-08,-7.93359167078e-08,10.0021151181,6.28303149726,3.87956077201e-05,0.0,-2.93002454044e-06,-9.59860727438e-06,0.0705015588455,-0.0082593236957,0.00190950258059,0.0,428.29104785943565,428.45337865356413,426.85521629171313,426.14998468953854
0.12000000000000001,-1.32273066216e-06,-5.17708079795e-06,10.0077929145,6.28272478057,6.28298361449,0.0,-3.79050271833e-05,-0.000197563400445,0.118754046126,0.000538099044358,-0.0197553726254,0.0,420.836717955517,418.95765052400515,420.061428630825,420.8235755763746
0.18,4.87181926336e-06,-2.63518902199e-05,10.0185250555,6.28306668166,6.28220665301,0.0,0.000344641553606,-0.000486925363912,0.238965690671,0.0144146312618,-0.00197285045025,0.0,442.4142420147435,443.8758023415004,442.8674022404119,444.0070312507679
0.23999999999999996,4.55647101473e-05,-5.48143931296e-05,10.0351973214,0.000463960902368,6.28207359855,0.0,0.00102417517285,-0.000388180755335,0.316757531668,-0.00192488417235,-0.00271160486858,0.0,429.4094193443095,429.3468031129254,431.0501983888692,429.66731558250757
0.3,0.00012898072133,-6.95619274589e-05,10.0558930689,6.28316775205,6.28205659813,0.0,0.00176454554235,-0.000127888072172,0.373083550292,-0.0244568549454,0.00417799433484,0.0,422.5934446129057,423.1868088577642,423.94631335227007,422.0062518491706
0.36000000000000004,0.000258491477903,-8.27119109307e-05,10.0831228305,6.28240222262,6.2828358994,0.0,0.00249059648248,-0.00042701888612,0.534512984322,0.00392414364536,0.0264684120898,0.0,455.48327782512655,457.262081068711,454.7821929420869,457.04945966894
0.4200000000000001,0.000408924053139,-0.000122002868336,10.1159147668,6.28245908434,0.000838510991353,0.0,0.00239297913376,-0.000868692072339,0.558539913755,-0.00579243470572,0.00109545437239,0.0,414.57637632875975,412.34130755837924,411.762607653953,410.90224357591467
0.48000000000000015,0.000530524032348,-0.000192595658583,10.155155036,6.28213041118,0.00207487936914,0.0,0.00156744170864,-0.0015233449162,0.749362938535,-0.00485606633029,0.0441667919349,0.0,463.4756328655945,466.84807438477367,465.1516321898516,465.2250403874926
0.5400000000000001,0.000563307474474,-0.000310111983799,10.2062069894,6.28203225661,0.00500320189208,0.0,-0.000802807198389,-0.00241574765486,0.952220742292,0.00413170173509,0.0567584744381,0.0,468.64910226548096,469.6279745852418,468.5098128639512,469.2080326471227
0.6000000000000002,0.00040919044125,-0.000475954926619,10.2645026136,6.28217041063,0.00820553310824,0.0,-0.00464224658598,-0.00309411655117,0.99093186672,-0.00163288691814,0.0455568451685,0.0,418.4247254369853,417.45057705434397,418.1941641044697,417.6917559132345
0.6600000000000003,-0.000105401427432,-0.000689331807573,10.3334109191,6.28158712713,0.0107440127909,0.0,-0.012862089284,-0.00405097748144,1.30570336264,-0.0353997799585,0.0348584456852,0.0,502.0932307640249,501.3173000116544,502.39336191320194,499.9394122559665
0.7200000000000003,-0.00115137133945,-0.000981542953776,10.4187288771,6.27930437479,0.0128691917561,0.0,-0.0222567476164,-0.00595592736128,1.53794193674,-0.0439452060775,0.0365188414799,0.0,478.84548280222555,478.9722114038258,478.80596712790475,478.1548687993146
0.7800000000000004,-0.00275261422877,-0.00142648291447,10.5133777371,6.27654539228,0.0149074589414,0.0,-0.0313262430693,-0.00914134129718,1.61690719844,-0.0504050831189,0.0283161220041,0.0,433.5064781220884,432.8172270943529,432.20472849097973,431.65865924678246
0.8400000000000004,-0.00494366856216,-0.00212186860606,10.6131544502,6.27365206094,0.0171079825769,0.0,-0.0419072378995,-0.0143351236067,1.70884446507,-0.0441806713032,0.0496116047858,0.0,435.9909443013812,437.76702182473696,436.7555082497764,437.27281795754914
0.9000000000000005,-0.00785808955429,-0.00320902525919,10.7206784832,6.27101482256,0.0197868361193,0.0,-0.0555545383545,-0.0221963311689,1.87502301074,-0.0435045199814,0.0321951216088,0.0,459.9410645644899,458.5607684821465,461.2650904579428,461.31746651094403
0.9600000000000005,-0.011694675492,-0.00485680067829,10.8404868561,6.26828355555,0.0219535950082,0.0,-0.0725768750071,-0.0330526537265,2.11816133127,-0.0498931149452,0.0429773179905,0.0,483.43870639346085,484.2508606911774,483.44895513739783,482.9663461811309
1.0200000000000005,-0.016471399673,-0.0071307883093,10.9687318043,6.26524747695,0.0244655057385,0.0,-0.0868822499283,-0.043025711861,2.15658757234,-0.0520561681118,0.0395432783508,0.0,421.63265446664786,421.33692602064866,421.5267790481792,421.33804299277995
1.0800000000000005,-0.0220983550327,-0.0100197830266,11.0970812081,6.26234710102,0.0269570375295,0.0,-0.100884483743,-0.053521624196,2.12178035537,-0.0417875466207,0.0452203793143,0.0,395.91285446996596,396.4359728468267,396.78859969372394,397.72838292359484
1.1400000000000006,-0.028638881122,-0.0136090587629,11.2244670328,6.25967258315,0.0297875281082,0.0,-0.117376129428,-0.0663469763398,2.12439556482,-0.0508303555606,0.0508211264305,0.0,409.6100682138338,410.1093605483729,409.590571385216,408.78424017367
1.2000000000000006,-0.036371965559,-0.0181373444051,11.3570085105,6.25668825752,0.0325683164324,0.0,-0.14071303129,-0.0849261851489,2.29330930101,-0.0476410741804,0.0354250347082,0.0,463.85586543943117,462.64643364337593,462.01054929794,462.26047580839696
